Genotype	Deletions	Plant	LeafLength	Nod	PinkNod	GreenNod
HM340	0gene	6	52.55	2.084	1.8	0
HM340	0gene	6	NA	1.934	0.958	0
HM340	0gene	6	NA	0.77	0.495	0
HM340	0gene	6	NA	1.185	0.513	0
HM340	0gene	6	NA	0.642	1.863	0
HM340	0gene	6	NA	2.148	0.612	0
HM340	0gene	6	NA	0.977	0.216	0
HM340	0gene	6	NA	0.378	0.599	0
HM340	0gene	6	NA	0.924	0.344	0
HM340	0gene	6	NA	0.673	1.19	0
HM340	0gene	6	NA	0.307	2.045	0
HM340	0gene	6	NA	1.448	1.478	0
HM340	0gene	6	NA	2.532	0.88	0
HM340	0gene	6	NA	1.857	0.661	0
HM340	0gene	6	NA	1.154	1.136	0
HM340	0gene	6	NA	0.925	1.162	0
HM340	0gene	6	NA	1.423	0.754	0
HM340	0gene	6	NA	1.324	1.624	0
HM340	0gene	6	NA	0.941	2.157	0
HM340	0gene	6	NA	1.936	0.494	0
HM340	0gene	6	NA	2.364	0	0
HM340	0gene	6	NA	0.791	0	0
HM340	0gene	6	NA	0.237	0	0
HM340	0gene	7	14.696	6.034	3.89	1.023
HM340	0gene	7	16.389	6.516	4.316	1.775
HM340	0gene	7	23.262	0.541	0.067	0.339
HM340	0gene	7	23.961	0.655	0.068	0
HM340	0gene	7	32.265	0.876	0.588	0
HM340	0gene	7	41.425	2.009	1.501	0
HM340	0gene	7	45.669	2.099	1.241	0
HM340	0gene	7	45.89	2.619	1.624	0
HM340	0gene	7	53.197	2.106	1.59	0
HM340	0gene	7	NA	0.433	0.164	0
HM340	0gene	8	34.878	0.528	0.541	0.219
HM340	0gene	8	29.142	0.82	0.949	0.246
HM340	0gene	8	36.625	1.771	0.496	0.305
HM340	0gene	8	35.235	0.922	0.538	0
HM340	0gene	8	15.859	1.152	0.281	0
HM340	0gene	8	8.215	0.597	0.146	0
HM340	0gene	8	NA	0.433	0.33	0
HM340	0gene	8	NA	0.576	0.279	0
HM340	0gene	8	NA	0.398	1.036	0
HM340	0gene	8	NA	1.219	0.502	0
HM340	0gene	8	NA	0.691	0.761	0
HM340	0gene	8	NA	1.019	0.361	0
HM340	0gene	8	NA	0.646	0.236	0
HM340	0gene	8	NA	0.723	0.363	0
HM340	0gene	8	NA	0.586	0.234	0
HM340	0gene	8	NA	0.235	2.422	0
HM340	0gene	8	NA	0.351	2.688	0
HM340	0gene	8	NA	3.097	0	0
HM340	0gene	8	NA	3.238	0	0
HM340	0gene	9	24.902	3.953	2.367	0.379
HM340	0gene	9	17.509	0.519	0.095	0.465
HM340	0gene	9	12.816	0.54	0.09	0.373
HM340	0gene	9	21.146	1.35	1.898	0.36
HM340	0gene	9	24.456	0.45	0.038	0.879
HM340	0gene	9	27.455	3.216	0.593	0.769
HM340	0gene	9	29.655	0.952	0.273	0.141
HM340	0gene	9	41.725	0.698	0.499	0.733
HM340	0gene	9	39.284	0.533	0.053	0.559
HM340	0gene	9	48.946	0.801	0.646	0
HM340	0gene	9	54.777	0.219	1.739	0
HM340	0gene	9	60.235	0.219	0.932	0
HM340	0gene	9	60.841	2.507	1.363	0
HM340	0gene	9	NA	2.354	0.377	0
HM340	0gene	9	NA	1.886	0.715	0
HM340	0gene	9	NA	0.842	0.892	0
HM340	0gene	9	NA	0.576	0.613	0
HM340	0gene	9	NA	1.119	0.703	0
HM340	0gene	9	NA	1.2	0.481	0
HM340	0gene	9	NA	1.236	0.635	0
HM340	0gene	9	NA	1.007	1.294	0
HM340	0gene	9	NA	0.69	0.919	0
HM340	0gene	9	NA	0.955	0.921	0
HM340	0gene	9	NA	1.561	0.431	0
HM340	0gene	9	NA	1.301	0.228	0
HM340	0gene	9	NA	1.224	0.983	0
HM340	0gene	9	NA	1.093	0.6	0
HM340	0gene	9	NA	1.477	0.317	0
HM340	0gene	9	NA	1.097	0.481	0
HM340	0gene	9	NA	2.471	0.819	0
HM340	0gene	9	NA	0.765	0.822	0
HM340	0gene	9	NA	1.808	1	0
HM340	0gene	9	NA	0.782	1.972	0
HM340	0gene	9	NA	0.867	0.62	0
HM340	0gene	9	NA	0.737	1.315	0
HM340	0gene	9	NA	1.344	0.582	0
HM340	0gene	9	NA	0.734	0.539	0
HM340	0gene	9	NA	0.519	0.425	0
HM340	0gene	9	NA	1.324	0.584	0
HM340	0gene	9	NA	0.549	0.409	0
HM340	0gene	9	NA	0.922	1.21	0
HM340	0gene	9	NA	0.883	0.319	0
HM340	0gene	9	NA	0.604	1.257	0
HM340	0gene	9	NA	1.508	1.303	0
HM340	0gene	9	NA	0.704	0.246	0
HM340	0gene	9	NA	1.61	1.074	0
HM340	0gene	9	NA	1.616	0	0
HM340	0gene	9	NA	0.503	0	0
HM340	0gene	9	NA	1.321	0	0
HM340	0gene	10	21.224	1.844	0.522	0.704
HM340	0gene	10	31.288	0.817	2.001	0.538
HM340	0gene	10	11.545	2.619	1.291	0.238
HM340	0gene	10	46.007	2.589	0.452	0.266
HM340	0gene	10	49.136	2.999	1.97	0.223
HM340	0gene	10	56.191	1.438	0.657	0
HM340	0gene	10	63.205	1.479	1.417	0
HM340	0gene	10	65.786	2.555	0.224	0
HM340	0gene	10	NA	0.999	1.332	0
HM340	0gene	10	NA	2.217	0.725	0
HM340	0gene	10	NA	0.898	0.556	0
HM340	0gene	10	NA	1.076	0.502	0
HM340	0gene	10	NA	0.381	1.333	0
HM340	0gene	10	NA	0.99	0.523	0
HM340	0gene	10	NA	0.148	0.583	0
HM340	0gene	10	NA	0.47	0.533	0
HM340	0gene	10	NA	2.096	0.454	0
HM340	0gene	10	NA	0.927	1.521	0
HM340	0gene	10	NA	1.351	0.357	0
HM340	0gene	10	NA	1.22	0.785	0
HM340	0gene	10	NA	0.842	1.626	0
HM340	0gene	10	NA	1.101	0	0
HM340	0gene	10	NA	2.33	0	0
HM340	0gene	11	18.376	0.889	0.566	0.097
HM340	0gene	11	10.847	1.167	0.903	0.041
HM340	0gene	11	10.047	8.469	5.623	1.437
HM340	0gene	11	20.407	12.151	9.177	1.528
HM340	0gene	11	14.638	2.635	1.923	0
HM340	0gene	11	16.814	2.369	1.997	0
HM340	0gene	11	28.804	2.417	1.937	0
HM340	0gene	11	26.32	6.155	0.509	0
HM340	0gene	11	29.704	0.854	5.038	0
HM340	0gene	11	38.685	1.389	1.144	0
HM340	0gene	11	55.349	NA	NA	NA
HM340	0gene	11	52.654	NA	NA	NA
HM340	0gene	11	46.413	NA	NA	NA
HM340	0gene	11	48.281	NA	NA	NA
HM340	0gene	12	13.925	2.079	1.793	0
HM340	0gene	12	25.454	1.795	1.412	0
HM340	0gene	12	31.27	1.105	0.766	0
HM340	0gene	12	55.034	0.682	0.458	0
HM340	0gene	12	42.677	1.726	1.579	0
HM340	0gene	12	45.417	1.362	1.139	0
HM340	0gene	12	58.594	0.933	0.608	0
HM340	0gene	12	NA	1.087	0.875	0
HM340	0gene	12	NA	3.311	3.226	0
HM340	0gene	12	NA	2.799	2.197	0
HM340	0gene	12	NA	1.237	1.018	0
HM340	0gene	12	NA	2.277	1.875	0
HM340	0gene	12	NA	1.385	1.089	0
HM340	0gene	12	NA	1.24	0.866	0
HM340	0gene	12	NA	4.032	3.536	0
HM340	0gene	12	NA	1.53	1.29	0
HM340	0gene	12	NA	1.222	1.002	0
HM340	0gene	12	NA	0.363	0	0
HM340	0gene	12	NA	0.446	0	0
HM340	0gene	12	NA	0.304	0	0
HM340	0gene	12	NA	0.573	0	0
HM340	0gene	13	16.409	0.466	0.179	0.166
HM340	0gene	13	17.148	0.754	0.119	0.569
HM340	0gene	13	40.448	0.587	0.479	0.24
HM340	0gene	13	45.769	0.693	0.3	0.104
HM340	0gene	13	49.031	0.436	0.374	0.343
HM340	0gene	13	50.712	0.589	0.441	0
HM340	0gene	13	NA	0.737	1.567	0
HM340	0gene	13	NA	1.874	0.517	0
HM340	0gene	13	NA	0.702	0.436	0
HM340	0gene	13	NA	0.6	1.949	0
HM340	0gene	13	NA	2.746	1.849	0
HM340	0gene	13	NA	2.619	1.256	0
HM340	0gene	13	NA	0.809	0.496	0
HM340	0gene	13	NA	1.39	0.901	0
HM340	0gene	13	NA	1.027	2.275	0
HM340	0gene	13	NA	1.545	0.365	0
HM340	0gene	13	NA	2.647	1.383	0
HM340	0gene	13	NA	0.286	0	0
HM340	0gene	13	NA	0.593	0	0
HM340	0gene	13	NA	1.601	0	0
HM340	0gene	14	11.976	0.456	0.536	0.739
HM340	0gene	14	10.89	0.874	0.103	0.687
HM340	0gene	14	16.6	1.453	0.993	0.386
HM340	0gene	14	24.958	0.495	0.618	0.322
HM340	0gene	14	NA	0.255	0.708	0.476
HM340	0gene	14	NA	0.243	0.683	0.523
HM340	0gene	14	NA	0.179	0.636	0
HM340	0gene	14	NA	1.754	0.493	0
HM340	0gene	14	NA	1.542	0	0
HM340	0gene	14	NA	0.922	0	0
HM340	0gene	14	NA	0.81	0	0
HM340	0gene	14	NA	0.887	0	0
HM340	0gene	14	NA	0.678	0	0
HM340	0gene	15	37.566	2.144	1.42	0.301
HM340	0gene	15	20.468	1.695	1.794	0.271
HM340	0gene	15	16.17	2.658	1.189	0.129
HM340	0gene	15	29.291	2.3	2.057	0.273
HM340	0gene	15	25.349	1.589	1.306	0
HM340	0gene	15	25.199	2.667	1.814	0
HM340	0gene	15	25.964	0.445	2.297	0
HM340	0gene	15	53.559	2.725	1.558	0
HM340	0gene	15	54.052	1.913	0.67	0
HM340	0gene	15	56.64	0.946	1.377	0
HM340	0gene	15	55.103	1.969	1.768	0
HM340	0gene	15	38.149	2.254	1.402	0
HM340	0gene	15	NA	1.836	1.89	0
HM340	0gene	15	NA	2.534	0.842	0
HM340	0gene	15	NA	1.121	1.89	0
HM340	0gene	15	NA	2.489	1.046	0
HM340	0gene	15	NA	1.284	1.198	0
HM340	0gene	15	NA	1.697	1.188	0
HM340	0gene	15	NA	1.437	0.97	0
HM340	0gene	15	NA	1.308	1.824	0
HM340	0gene	15	NA	2.278	1.913	0
HM340	0gene	15	NA	2.319	0.966	0
HM340	0gene	15	NA	2.249	1.766	0
HM340	0gene	15	NA	1.314	0.586	0
HM340	0gene	15	NA	0.919	0.684	0
HM340	0gene	15	NA	0.82	1.078	0
HM340	0gene	15	NA	1.317	0	0
HM340	0gene	15	NA	0.631	0	0
HM340	0gene	16	18.778	1.839	1.193	0.359
HM340	0gene	16	44.018	2.16	1.53	0.617
HM340	0gene	16	29.743	0.802	1.112	0.251
HM340	0gene	16	37.4	2.416	1.77	0.549
HM340	0gene	16	36.571	2.198	0.775	0.453
HM340	0gene	16	42.527	1.103	1.253	0
HM340	0gene	16	NA	1.602	1.071	0
HM340	0gene	16	NA	1.167	0.843	0
HM340	0gene	16	NA	1.341	0.698	0
HM340	0gene	16	NA	1.093	0.904	0
HM340	0gene	16	NA	0.801	0.633	0
HM340	0gene	16	NA	0.769	1.256	0
HM340	0gene	16	NA	1.65	1.114	0
HM340	0gene	16	NA	1.439	1.65	0
HM340	0gene	16	NA	1.858	1.308	0
HM340	0gene	16	NA	1.967	0.655	0
HM340	0gene	16	NA	1.655	0.834	0
HM340	0gene	16	NA	1.093	1.406	0
HM340	0gene	16	NA	1.184	1.505	0
HM340	0gene	16	NA	1.942	0	0
HM340	0gene	16	NA	1.552	0	0
HM340	0gene	16	NA	0.574	0	0
HM340	0gene	17	21.093	1.166	0.93	0.109
HM340	0gene	17	16.181	0.933	0.616	0
HM340	0gene	17	24.669	1.8	1.318	0
HM340	0gene	17	42.339	1.851	1.546	0
HM340	0gene	17	38.604	1.387	0.933	0
HM340	0gene	17	54.07	0.24	1.344	0
HM340	0gene	17	NA	1.585	0.239	0
HM340	0gene	17	NA	0.584	0.246	0
HM340	0gene	17	NA	0.865	0.624	0
HM340	0gene	17	NA	0.635	0	0
HM340	0gene	18	21.766	1.344	0.923	0.282
HM340	0gene	18	24.521	0.317	1.703	0.514
HM340	0gene	18	37.531	2.188	1.085	0.694
HM340	0gene	18	52.277	0.879	1.045	0.123
HM340	0gene	18	36.439	1.267	0.618	0
HM340	0gene	18	56.836	1.969	0.708	0
HM340	0gene	18	50.468	0.732	1.175	0
HM340	0gene	18	NA	1.067	1.388	0
HM340	0gene	18	NA	1.539	0.575	0
HM340	0gene	18	NA	1.892	0.835	0
HM340	0gene	18	NA	0.52	0.84	0
HM340	0gene	18	NA	0.848	0.172	0
HM340	0gene	18	NA	1.134	0.101	0
HM340	0gene	18	NA	1.097	1.439	0
HM340	0gene	18	NA	0.517	1.097	0
HM340	0gene	18	NA	0.276	0.409	0
HM340	0gene	18	NA	0.078	0.848	0
HM340	0gene	18	NA	1.863	0.809	0
HM340	0gene	18	NA	1.283	2.146	0
HM340	0gene	18	NA	0.593	1.305	0
HM340	0gene	18	NA	0.445	0.836	0
HM340	0gene	18	NA	1.205	0	0
HM340	0gene	18	NA	1.218	0	0
HM340	0gene	18	NA	2.34	0	0
HM340	0gene	18	NA	1.655	0	0
HM340	0gene	18	NA	1.253	0	0
HM340	0gene	19	15.092	2.439	2.257	0.317
HM340	0gene	19	24.257	0.562	1.329	0.358
HM340	0gene	19	27.736	2.067	1.341	0
HM340	0gene	19	48.918	1.772	0.307	0
HM340	0gene	19	42.786	1.076	0.711	0
HM340	0gene	19	38.617	0.784	1.517	0
HM340	0gene	19	NA	0.632	1.43	0
HM340	0gene	19	NA	2.066	1.511	0
HM340	0gene	19	NA	1.813	0.441	0
HM340	0gene	19	NA	1.841	0	0
HM340	0gene	19	NA	0.566	0	0
HM340	0gene	19	NA	1.103	0	0
HM340	0gene	20	14.159	1.861	1.34	0
HM340	0gene	20	24.484	1.62	1.134	0
HM340	0gene	20	24.109	0.648	0.283	0
HM340	0gene	20	33.617	1.377	0.879	0
HM340	0gene	20	43.075	0.267	0.746	0
HM340	0gene	20	NA	0.467	0.56	0
HM340	0gene	20	NA	1.027	0.704	0
HM340	0gene	20	NA	0.792	0.7	0
HM340	0gene	20	NA	0.931	0	0
HM340	0gene	20	NA	0.949	0	0
HM340	0gene	21	15.825	1.875	1.408	0.487
HM340	0gene	21	21.109	1.025	0.184	0.177
HM340	0gene	21	37.152	1.348	1.138	0
HM340	0gene	21	47.02	0.555	0.221	0
HM340	0gene	21	44.452	0.435	0.663	0
HM340	0gene	21	NA	0.535	0.641	0
HM340	0gene	21	NA	0.67	1.505	0
HM340	0gene	21	NA	0.753	1.575	0
HM340	0gene	21	NA	0.391	0.748	0
HM340	0gene	21	NA	1.19	0	0
HM340	0gene	21	NA	0.387	0	0
HM340	0gene	21	NA	2.1	0	0
HM340	0gene	21	NA	2.028	0	0
HM340	0gene	21	NA	1.213	0	0
HM340	0gene	21	NA	0.279	0	0
HM340	0gene	22	22.06	0.416	0.212	0
HM340	0gene	22	34.467	1.442	1.002	0
HM340	0gene	22	35.006	1.918	1.749	0
HM340	0gene	22	NA	1.769	1.383	0
HM340	0gene	22	NA	1.06	0.813	0
HM340	0gene	22	NA	0.554	0.454	0
HM340	0gene	22	NA	1.082	0.893	0
HM340	0gene	23	10.932	1.408	0.918	0.291
HM340	0gene	23	20.446	1.172	0.083	0.879
HM340	0gene	23	31.852	1.073	0.816	0.575
HM340	0gene	23	41.8	0.849	0.616	0.104
HM340	0gene	23	51.495	0.788	0.548	0.113
HM340	0gene	23	44.374	1.679	0.807	0
HM340	0gene	23	59.144	0.381	0.692	0
HM340	0gene	23	NA	1.058	0.387	0
HM340	0gene	23	NA	1.701	0.908	0
HM340	0gene	23	NA	1.226	1.302	0
HM340	0gene	23	NA	0.681	0.678	0
HM340	0gene	23	NA	1.05	0.506	0
HM340	0gene	23	NA	0.792	1.383	0
HM340	0gene	23	NA	1.587	1.013	0
HM340	0gene	23	NA	1.491	0.53	0
HM340	0gene	23	NA	0.935	1.143	0
HM340	0gene	23	NA	1.668	0.526	0
HM340	0gene	23	NA	0.405	0.806	0
HM340	0gene	23	NA	0.868	0.483	0
HM340	0gene	23	NA	1.018	0.431	0
HM340	0gene	23	NA	0.801	0.506	0
HM340	0gene	23	NA	0.788	0.458	0
HM340	0gene	23	NA	0.715	0.645	0
HM340	0gene	23	NA	0.633	0.409	0
HM340	0gene	23	NA	0.916	0.576	0
HM340	0gene	23	NA	0.653	0.809	0
HM340	0gene	23	NA	0.712	0.483	0
HM340	0gene	23	NA	1.193	0	0
HM340	0gene	23	NA	0.728	0	0
HM340	0gene	24	12.004	1.765	0.896	0.299
HM340	0gene	24	22.027	1.74	0.961	0.438
HM340	0gene	24	45.163	1.096	0.38	0.962
HM340	0gene	24	35.879	0.66	0.742	0.12
HM340	0gene	24	43.321	0.345	1.123	0
HM340	0gene	24	NA	0.961	0.803	0
HM340	0gene	24	NA	1.421	0.856	0
HM340	0gene	24	NA	1.152	0.151	0
HM340	0gene	24	NA	1.165	1.775	0
HM340	0gene	24	NA	0.45	0.163	0
HM340	0gene	24	NA	2.273	0.218	0
HM340	0gene	24	NA	0.557	1.356	0
HM340	0gene	24	NA	0.452	1.115	0
HM340	0gene	24	NA	1.765	0	0
HM340	0gene	24	NA	1.426	0	0
HM340	0gene	25	15.2	1.049	1.227	0.419
HM340	0gene	25	19.904	1.722	0.532	0
HM340	0gene	25	34.888	1.554	1.338	0
HM340	0gene	25	55.468	1.462	1.221	0
HM340	0gene	25	45.632	1.138	1.001	0
HM340	0gene	25	47.858	0.402	0.652	0
HM340	0gene	25	NA	0.508	1.047	0
HM340	0gene	25	NA	0.343	0.478	0
HM340	0gene	25	NA	1.273	0.797	0
HM340	0gene	25	NA	0.954	1.477	0
HM340	0gene	25	NA	1.194	0.491	0
HM340	0gene	25	NA	2.021	0.94	0
HM340	0gene	25	NA	0.726	0.6	0
HM340	0gene	25	NA	1.519	0.478	0
HM340	0gene	25	NA	0.827	0	0
HM340	0gene	25	NA	0.997	0	0
HM340	0gene	26	7.99	1.328	0.366	0.945
HM340	0gene	26	15.7	0.731	0.703	0.072
HM340	0gene	26	32.364	1.367	1.256	0
HM340	0gene	26	29.941	2.192	2.017	0
HM340	0gene	26	38.611	0.508	0.191	0
HM340	0gene	26	NA	0.552	0.274	0
HM340	0gene	26	NA	0.458	0.679	0
HM340	0gene	26	NA	0.864	0.552	0
HM340	0gene	26	NA	0.871	0	0
HM340	0gene	27	6.761	1.219	0.666	0.423
HM340	0gene	27	19.323	1.301	0.682	0.36
HM340	0gene	27	42.049	1.551	1.07	0
HM340	0gene	27	48.677	1.144	0.813	0
HM340	0gene	27	27.399	0.276	0.106	0
HM340	0gene	27	30.905	0.604	0.397	0
HM340	0gene	27	NA	0.95	0.923	0
HM340	0gene	27	NA	1.091	1.083	0
HM340	0gene	27	NA	1.04	0.803	0
HM340	0gene	27	NA	1.388	1.038	0
HM340	0gene	27	NA	1.509	1.289	0
HM340	0gene	27	NA	0.755	0.586	0
HM340	0gene	27	NA	1.27	1.041	0
HM340	0gene	27	NA	0.827	0.519	0
HM340	0gene	27	NA	0.441	0.287	0
HM340	0gene	28	11.691	1.241	0.339	0.864
HM340	0gene	28	31.797	2.221	1.08	0.49
HM340	0gene	28	25.021	1.618	0.869	0.512
HM340	0gene	28	45.711	1.73	0.635	0.273
HM340	0gene	28	28.625	1.116	0.919	0.074
HM340	0gene	28	51.021	1.506	0.982	0
HM340	0gene	28	52.005	1.87	1.286	0
HM340	0gene	28	NA	1.176	0.927	0
HM340	0gene	28	NA	1.688	1.078	0
HM340	0gene	28	NA	1.134	0.657	0
HM340	0gene	28	NA	0.827	0.641	0
HM340	0gene	28	NA	1.604	0.845	0
HM340	0gene	28	NA	1.055	1.254	0
HM340	0gene	28	NA	0.702	1.548	0
HM340	0gene	28	NA	2.158	0.637	0
HM340	0gene	28	NA	1.054	0.809	0
HM340	0gene	28	NA	0.546	0	0
HM340	0gene	28	NA	1.182	0	0
HM340	0gene	29	18.925	2.43	2.063	0.276
HM340	0gene	29	7.733	1.371	1.023	0.11
HM340	0gene	29	32.387	2.19	1.788	0.482
HM340	0gene	29	38.645	0.312	0.933	0.476
HM340	0gene	29	50.4	1.368	1.081	0
HM340	0gene	29	44.926	1.206	1.577	0
HM340	0gene	29	NA	2.213	1.402	0
HM340	0gene	29	NA	1.756	1.736	0
HM340	0gene	29	NA	2.075	0	0
HM340	0gene	29	NA	0.482	0	0
HM340	0gene	29	NA	0.504	0	0
HM340	0gene	30	21.441	1.127	0.043	0.893
HM340	0gene	30	32.612	2.329	2.034	0.234
HM340	0gene	30	44.792	0.806	0.284	0.622
HM340	0gene	30	51.719	1.379	1.17	0
HM340	0gene	30	38.867	0.817	0.624	0
HM340	0gene	30	NA	1.433	1.312	0
HM340	0gene	30	NA	0.984	0.944	0
HM340	0gene	30	NA	2.02	1.038	0
HM340	0gene	30	NA	1.412	1.592	0
HM340	0gene	30	NA	0.982	0.872	0
HM340	0gene	30	NA	1.188	0.67	0
HM340	0gene	30	NA	1.154	0.911	0
HM340	0gene	30	NA	3.014	0.805	0
HM340	0gene	30	NA	0.423	1.704	0
HM340	0gene	30	NA	0.581	0.274	0
HM340	0gene	31	11.325	1.283	0.936	0.234
HM340	0gene	31	19.582	2.206	1.088	0.498
HM340	0gene	31	49.386	2.228	1.309	0.174
HM340	0gene	31	46.755	1.442	0.998	0.151
HM340	0gene	31	62.15	1.151	0.913	0.093
HM340	0gene	31	58.242	1.35	1.058	0
HM340	0gene	31	36.06	1.265	1.132	0
HM340	0gene	31	NA	1.127	0.806	0
HM340	0gene	31	NA	1.31	0.846	0
HM340	0gene	31	NA	1.063	0.705	0
HM340	0gene	31	NA	0.793	0.552	0
HM340	0gene	31	NA	1.247	0.823	0
HM340	0gene	31	NA	0.429	1.012	0
HM340	0gene	31	NA	1.371	0.853	0
HM340	0gene	31	NA	0.368	1.245	0
HM340	0gene	31	NA	1.007	1.033	0
HM340	0gene	31	NA	1.511	0	0
HM340	0gene	31	NA	1.383	0	0
HM340	0gene	32	10.345	1.385	0.954	0
HM340	0gene	32	29.396	1.457	1.129	0
HM340	0gene	32	23.639	2.296	2.094	0
HM340	0gene	32	37.397	0.066	0	0
HM340	0gene	32	43.345	0.255	0	0
HM340	0gene	32	NA	0.164	0	0
HM340	0gene	32	NA	0.202	0	0
HM340	0gene	32	NA	0.161	0	0
HM340	0gene	33	45.773	0.829	0.155	0.692
HM340	0gene	33	18.362	0.708	0.041	0.455
HM340	0gene	33	37.366	0.34	1.811	0.188
HM340	0gene	33	44.431	2.177	0.755	0.102
HM340	0gene	33	55.173	0.975	0.841	0
HM340	0gene	33	NA	1.09	0.555	0
HM340	0gene	33	NA	0.728	0.112	0
HM340	0gene	33	NA	0.299	0.557	0
HM340	0gene	33	NA	0.761	1.691	0
HM340	0gene	33	NA	1.851	0.651	0
HM340	0gene	33	NA	0.922	1.908	0
HM340	0gene	33	NA	2.398	1.374	0
HM340	0gene	33	NA	1.824	1.713	0
HM340	0gene	33	NA	2.135	0.965	0
HM340	0gene	33	NA	0.092	0.836	0
HM340	0gene	33	NA	1.224	0	0
HM340	0gene	33	NA	1.048	0	0
HM340	0gene	34	22.21	0.926	0.056	0.75
HM340	0gene	34	34.492	1.614	0.892	0.457
HM340	0gene	34	41.581	1.611	1.251	0.381
HM340	0gene	34	45.529	0.896	0.724	0
HM340	0gene	34	45.717	0.8	0.669	0
HM340	0gene	34	NA	2.517	1.885	0
HM340	0gene	34	NA	0.964	0.506	0
HM340	0gene	34	NA	0.77	0.781	0
HM340	0gene	34	NA	1.007	0.696	0
HM340	0gene	34	NA	1.295	0.969	0
HM340	0gene	34	NA	0.856	0.647	0
HM340	0gene	34	NA	1.16	1.009	0
HM340	0gene	34	NA	0.365	0.125	0
HM340	0gene	34	NA	0.477	0.08	0
HM340	0gene	34	NA	1.066	0.832	0
