Genotype	Deletions	Plant	LeafNum	Leaftot	LeafLengthAvg	Height	NodNum	NodTot	NodAvg	NodMax	PinkNum	PinkTot	PinkAvg	PinkMax	PinkNodRatio	GreenNum	GreenTot	GreenAvg	GreenMax
Gm26.4	3gene1	17	3	69.255	23.085	29.747	29	9.414	0.3246207	0.896	1	0.67	0.023103448	0.67	0.071170597	0	0	0	0
Gm26.4	3gene1	18	4	89.273	22.31825	34.256	56	15.847	0.2829821	0.557	4	1.382	0.024678571	0.453	0.0872089354	0	0	0	0
Gm26.4	3gene1	19	4	74.978	18.7445	24.679	19	6.911	0.3637368	1.008	6	2.445	0.128684211	0.725	0.3537838229	0	0	0	0
Gm26.4	3gene1	20	3	46.455	15.485	20.659	6	1.988	0.3313333	0.552	1	0.325	0.054166667	0.325	0.1634808853	0	0	0	0
Gm26.4	3gene1	21	3	76.516	25.50533	28.257	28	11.111	0.3968214	1.127	0	0	0	0	0	0	0	0	0
Gm26.4	3gene1	22	3	32.812	10.93733	13.306	21	7.668	0.3651429	0.609	0	0	0	0	0	0	0	0	0
Gm26.4	3gene1	23	3	55.206	18.402	26.936	18	9.097	0.5053889	1.218	4	1.695	0.094166667	0.6	0.1863251621	0	0	0	0
Gm26.4	3gene1	24	4	70.421	17.60525	27.139	16	6.783	0.4239375	0.819	3	1.484	0.09275	0.646	0.2187822497	0	0	0	0
Gm26.4	3gene1	25	3	71.423	23.80767	25.579	57	17.797	0.3122281	0.706	0	0	0	0	0	0	0	0	0
Gm26.4	3gene1	26	5	102.116	20.4232	30.905	41	15.664	0.3820488	0.86	0	0	0	0	0	0	0	0	0
Gm26.4	3gene1	27	3	54.251	18.08367	28.471	19	6.672	0.3511579	0.792	1	0.583	0.030684211	0.583	0.0873800959	0	0	0	0
Gm26.4	3gene1	28	4	85.685	21.42125	30.877	13	6.752	0.5193846	0.978	5	2.494	0.191846154	0.875	0.3693720379	0	0	0	0
Gm26.4	3gene1	29	3	53.805	17.935	21.765	32	10.869	0.3396562	0.653	0	0	0	0	0	0	0	0	0
Gm26.4	3gene1	30	3	24.906	8.302	11.362	6	3.111	0.5185	0.706	0	0	0	0	0	0	0	0	0
Gm26.4	3gene1	31	3	55.609	18.53633	24.863	47	15.222	0.3238723	0.617	0	0	0	0	0	0	0	0	0
Gm26.4	3gene1	32	4	107.562	26.8905	36.352	22	8.986	0.4084545	1.433	1	0.981	0.044590909	0.981	0.1091698197	0	0	0	0
Gm26.4	3gene1	33	4	66.578	16.6445	25.442	60	16.791	0.27985	0.706	0	0	0	0	0	0	0	0	0
Gm26.4	3gene1	34	4	96.789	24.19725	32.793	50	16.845	0.3369	0.669	3	0.869	0.01738	0.347	0.0515880083	0	0	0	0
Gm26.4	3gene1	35	3	35.527	11.84233	14.052	8	3.339	0.417375	0.744	3	0.47	0.05875	0.204	0.1407607068	0	0	0	0
Gm8.5	3gene2	1	6	217.268	36.21133	50.943	19	22.408	1.1793684	2.498	18	12.369	0.651	1.756	0.5519903606	2	1.913	0.10068421	1.151
Gm8.5	3gene2	2	7	272.837	38.97671	62.467	12	20.174	1.6811667	8.078	12	11.588	0.965666667	6.026	0.5744026965	3	2.598	0.2165	0.973
Gm8.5	3gene2	3	4	114.971	28.74275	34.704	21	14.024	0.6678095	1.478	15	4.369	0.208047619	0.542	0.3115373645	7	2.955	0.14071429	0.822
Gm8.5	3gene2	4	4	52.549	13.13725	19.657	5	4.571	0.9142	1.312	4	2.155	0.431	0.8	0.4714504485	1	0.666	0.1332	0.666
Gm8.5	3gene2	5	6	169.879	28.31317	43.778	12	14.042	1.1701667	1.629	11	6.11	0.509166667	0.767	0.4351232018	8	3.22	0.26833333	0.907
Gm8.5	3gene2	6	5	123.472	24.6944	33.889	14	10.401	0.7429286	1.616	12	4.663	0.333071429	1.049	0.4483222767	1	0.922	0.06585714	0.922
Gm8.5	3gene2	7	11	433.905	39.44591	68.108	25	46.464	1.85856	4.257	25	34.449	1.37796	3.218	0.7414127066	1	0.408	0.01632	0.408
Gm8.5	3gene2	8	3	99.965	33.32167	42.94	14	13.786	0.9847143	2.547	11	6.54	0.467142857	1.338	0.4743943131	6	3.124	0.22314286	0.948
Gm8.5	3gene2	9	9	373.324	41.48044	68.497	18	28.468	1.5815556	8.261	13	16.77	0.931666667	5.714	0.5890824786	6	2.982	0.16566667	0.78
Gm8.5	3gene2	10	6	240.951	40.1585	54.735	29	30.284	1.0442759	2.224	25	17.916	0.617793103	1.802	0.5915995245	6	2.524	0.08703448	0.824
Gm8.5	3gene2	11	5	177.743	35.5486	49.438	7	8.964	1.2805714	2.149	4	6.561	0.937285714	1.841	0.7319277108	0	0	0	0
Gm8.5	3gene2	12	6	245.954	40.99233	59.537	18	18.477	1.0265	2.432	13	9.072	0.504	1.309	0.4909887969	4	2.929	0.16272222	1.041
Gm8.5	3gene2	13	4	88.146	22.0365	33.756	5	6.368	1.2736	1.623	5	4.127	0.8254	1.188	0.6480841709	1	0.656	0.1312	0.656
Gm8.5	3gene2	14	6	177.526	29.58767	49.756	11	12.097	1.0997273	1.84	10	7.256	0.659636364	1.163	0.5998181367	5	2.075	0.18863636	0.585
Gm8.5	3gene2	15	4	100.591	25.14775	37.323	9	8.57	0.9522222	1.843	7	4.649	0.516555556	1.548	0.5424737456	1	0.845	0.09388889	0.845
Gm8.5	3gene2	16	5	208.484	41.6968	57.316	20	20.011	1.00055	2.226	15	9.267	0.46335	1.501	0.4630952976	8	3.828	0.1914	0.998
Gm8.5	3gene2	17	5	123.907	24.7814	36.961	6	7.846	1.3076667	2.849	4	4.162	0.693666667	1.928	0.5304613816	0	0.712	0.11866667	0.293
Gm8.5	3gene2	18	7	230.32	32.90286	54.363	12	13.945	1.1620833	2.341	9	9.403	0.783583333	2.157	0.6742918609	3	0	0	0
Gm8.5	3gene2	19	6	215.721	35.9535	55.897	16	12.975	0.8109375	1.613	11	6.191	0.3869375	1.075	0.4771483622	10	3.876	0.24225	0.85
Gm8.5	3gene2	20	6	204.83	34.13833	51.526	16	17.624	1.1015	2.37	13	9.609	0.6005625	1.405	0.545222424	7	2.85	0.178125	0.847
Gm8.5	3gene2	21	5	158.739	31.7478	45.443	10	13.438	1.3438	2.461	6	3.905	0.3905	1.087	0.2905938384	4	3.007	0.3007	1.1
Gm8.5	3gene2	22	4	98.998	24.7495	34.66	8	5.918	0.73975	1.919	4	2.338	0.29225	0.858	0.3950659006	2	1.845	0.230625	1.349
Gm8.5	3gene2	23	5	132.277	26.4554	40.787	13	12.474	0.9595385	1.496	11	7.227	0.555923077	1.127	0.5793650794	3	2.08	0.16	0.932
Gm8.5	3gene2	24	8	171.698	21.46225	32.118	30	21.313	0.7104333	1.991	23	11.921	0.397366667	1.368	0.5593299864	9	3.195	0.1065	0.771
Gm8.5	3gene2	25	6	210.567	35.0945	53.127	12	14.698	1.2248333	2.265	11	9.92	0.826666667	1.934	0.6749217581	3	1.552	0.12933333	0.773
Gm8.5	3gene2	26	6	227.97	37.995	48.627	26	19.787	0.7610385	1.882	24	8.127	0.312576923	0.819	0.4107242129	11	4.302	0.16546154	1.001
Gm8.5	3gene2	27	6	197.794	32.96567	52.09	8	13.766	1.72075	2.814	8	9.652	1.2065	2.182	0.7011477553	3	1.457	0.182125	0.769
Gm8.5	3gene2	28	5	138.322	27.6644	40.904	15	14.593	0.9728667	2.133	13	7.697	0.513133333	1.211	0.5274446653	9	3.642	0.2428	1.067
Gm8.5	3gene2	29	5	127.417	25.4834	39.677	9	9.192	1.0213333	2.131	8	3.725	0.413888889	0.999	0.4052436902	2	2.434	0.27044444	1.361
Gm8.5	3gene2	30	5	147.342	29.4684	44.354	20	15.317	0.76585	1.846	16	8.288	0.4144	1.273	0.5410981263	7	2.458	0.1229	0.552
Gm8.5	3gene2	31	5	177.229	35.4458	47.92	25	23.682	0.94728	2.562	19	13.141	0.52564	2.211	0.5548940123	7	3.748	0.14992	1.294
Gm8.5	3gene2	32	5	128.229	25.6458	37.877	10	8.506	0.8506	1.852	7	4.591	0.4591	1.277	0.5397366565	6	2.499	0.2499	0.552
Gm8.5	3gene2	33	4	89.829	22.45725	30.246	6	4.776	0.796	1.544	5	2.188	0.364666667	0.863	0.4581239531	1	0.32	0.05333333	0.32
Gm8.5	3gene2	34	7	213.08	30.44	44.88	15	15.56	1.0373333	1.778	13	8.773	0.584866667	1.402	0.5638174807	7	3.315	0.221	1.536
Gm8.5	3gene2	35	4	71.744	17.936	25.591	4	3.683	0.92075	1.529	3	1.256	0.314	0.649	0.3410263372	3	1.963	0.49075	1.037
Gm8.5	3gene2	36	4	134.466	33.6165	44.233	7	7.647	1.0924286	1.743	7	5.24	0.748571429	1.567	0.6852360403	4	2.757	0.39385714	1.03
Gm8.5	3gene2	37	4	96.364	24.091	33.578	15	10.624	0.7082667	1.207	9	6.525	0.435	1.062	0.6141754518	2	0.829	0.05526667	0.432
Gm8.5	3gene2	38	7	227.894	32.55629	47.431	9	7.446	0.8273333	1.616	4	2.177	0.241888889	0.856	0.2923717432	6	4.679	0.51988889	1.379
Gm8.5	3gene2	39	6	226.003	37.66717	52.048	14	18.461	1.3186429	2.013	13	11.453	0.818071429	1.783	0.620388928	5	4	0.28571429	1.2
Gm8.5	3gene2	40	7	245.577	35.08243	54.306	13	17.149	1.3191538	2.805	10	9.027	0.694384615	1.795	0.5263863782	9	5.597	0.43053846	1.106
Gm8.5	3gene2	41	7	254.523	36.36043	54.23	14	20.886	1.4918571	3.003	11	14.222	1.015857143	2.667	0.6809345973	4	2.437	0.17407143	0.889
Gm8.5	3gene2	42	5	199.924	39.9848	51.447	26	19.958	0.7676154	1.61	24	10.719	0.412269231	1.072	0.5370778635	7	5.3	0.20384615	1.431
Gm8.5	3gene2	43	5	175.847	35.1694	45.142	20	16.109	0.80545	1.42	18	8.452	0.4226	0.957	0.5246756472	16	4.897	0.24485	0.803
HM340	0gene	1	6	191.6	31.93333	52.452	16	15.643	0.9776875	2.122	14	9.9	0.61875	1.374	0.6328709327	4	2.005	0.1253125	0.742
HM340	0gene	2	4	71.606	17.9015	30.83	5	4.125	0.825	0.992	5	2.337	0.4674	0.758	0.5665454545	0	0	0	0
HM340	0gene	3	5	165.806	33.1612	45.604	20	18.812	0.9406	1.705	19	12.345	0.61725	1.226	0.6562300659	4	1.965	0.09825	0.888
HM340	0gene	4	6	197.104	32.85067	52.098	12	16.52	1.3766667	1.894	11	10.657	0.888083333	1.427	0.6450968523	1	0.493	0.04108333	0.493
HM340	0gene	5	13	449.094	34.54569	53.797	23	37.134	1.6145217	8.231	21	26.927	1.17073913	6.206	0.7251306081	7	2.804	0.12191304	0.819
HM340	0gene	6	9	356.548	39.61644	64.895	31	39.93	1.2880645	2.532	28	28.481	0.918741935	2.157	0.7132732281	5	3.034	0.09787097	0.861
HM340	0gene	7	9	296.754	32.97267	53.197	10	23.888	2.3888	6.516	10	15.049	1.5049	4.316	0.6299815807	3	3.137	0.3137	1.775
HM340	0gene	8	6	159.954	26.659	36.625	19	19.002	1.0001053	3.238	17	12.163	0.640157895	2.688	0.6400905168	3	0.77	0.04052632	0.305
HM340	0gene	9	13	463.747	35.67285	60.841	49	57.146	1.1662449	3.953	46	35.672	0.728	2.367	0.6242256676	9	4.658	0.09506122	0.879
HM340	0gene	10	8	344.382	43.04775	65.786	23	33.386	1.4515652	2.999	21	19.364	0.841913043	2.001	0.5800035943	5	1.969	0.0856087	0.704
HM340	0gene	11	14	417.339	29.80993	55.349	10	38.495	3.8495	12.151	10	28.817	2.8817	9.177	0.7485907261	4	3.103	0.3103	1.528
HM340	0gene	12	7	272.371	38.91014	58.594	21	31.488	1.4994286	4.032	17	24.729	1.177571429	3.536	0.7853467988	0	0	0	0
HM340	0gene	13	6	219.517	36.58617	50.712	20	22.701	1.13505	2.746	17	14.886	0.7443	2.275	0.6557420378	5	1.422	0.0711	0.569
HM340	0gene	14	4	64.424	16.106	24.958	13	10.548	0.8113846	1.754	8	4.77	0.366923077	0.993	0.45221843	6	3.133	0.241	0.739
HM340	0gene	15	12	437.51	36.45917	56.64	28	48.858	1.7449286	2.725	26	36.493	1.303321429	2.297	0.7469196447	4	0.974	0.03478571	0.301
HM340	0gene	16	6	209.037	34.8395	44.018	22	32.205	1.4638636	2.416	19	21.51	0.977727273	1.77	0.6679087098	5	2.229	0.10131818	0.617
HM340	0gene	17	6	196.956	32.826	54.07	10	11.046	1.1046	1.851	9	7.796	0.7796	1.546	0.7057758465	1	0.109	0.0109	0.109
HM340	0gene	18	7	279.838	39.97686	56.836	26	29.519	1.1353462	2.34	21	20.057	0.771423077	2.146	0.6794606863	4	1.613	0.06203846	0.694
HM340	0gene	19	6	197.406	32.901	48.918	12	16.721	1.3934167	2.439	9	10.844	0.903666667	2.257	0.6485258059	2	0.675	0.05625	0.358
HM340	0gene	20	5	139.444	27.8888	43.075	10	9.939	0.9939	1.861	8	6.346	0.6346	1.34	0.6384948184	0	0	0	0
HM340	0gene	21	5	165.558	33.1116	47.02	15	14.784	0.9856	2.1	9	8.083	0.538866667	1.575	0.5467397186	2	0.664	0.04426667	0.487
HM340	0gene	22	3	91.533	30.511	35.006	7	8.241	1.1772857	1.918	7	6.506	0.929428571	1.749	0.7894672977	0	0	0	0
HM340	0gene	23	7	260.043	37.149	59.144	29	28.969	0.998931	1.701	27	18.462	0.63662069	1.383	0.6373019435	5	1.962	0.06765517	0.879
HM340	0gene	24	5	158.394	31.6788	45.163	15	17.228	1.1485333	2.273	13	10.539	0.7026	1.775	0.6117367077	4	1.819	0.12126667	0.962
HM340	0gene	25	6	218.95	36.49167	55.468	16	17.689	1.1055625	2.021	14	12.279	0.7674375	1.477	0.6941602126	1	0.419	0.0261875	0.419
HM340	0gene	26	5	124.606	24.9212	38.611	9	8.871	0.9856667	2.192	8	6.038	0.670888889	2.017	0.6806447977	2	1.017	0.113	0.945
HM340	0gene	27	6	175.114	29.18567	48.677	15	15.366	1.0244	1.551	15	11.303	0.753533333	1.289	0.7355850579	2	0.783	0.0522	0.423
HM340	0gene	28	7	245.871	35.12443	52.005	18	24.428	1.3571111	2.221	16	14.506	0.805888889	1.548	0.5938267562	5	2.213	0.12294444	0.864
HM340	0gene	29	6	193.016	32.16933	50.4	11	15.907	1.4460909	2.43	8	11.603	1.054818182	2.063	0.7294272962	4	1.344	0.12218182	0.482
HM340	0gene	30	5	189.431	37.8862	51.719	15	19.649	1.3099333	3.014	15	14.277	0.9518	2.034	0.7266018627	3	1.749	0.1166	0.893
HM340	0gene	31	7	283.5	40.5	62.15	18	22.534	1.2518889	2.228	16	15.309	0.8505	1.309	0.6793733913	5	1.15	0.06388889	0.498
HM340	0gene	32	5	144.122	28.8244	43.345	8	5.986	0.74825	2.296	3	4.177	0.522125	2.094	0.6977948547	0	0	0	0
HM340	0gene	33	5	201.105	40.221	55.173	17	19.401	1.1412353	2.398	15	13.965	0.821470588	1.908	0.7198082573	4	1.437	0.08452941	0.692
